CSKU,1C code,Item name,in case,coif,arge_group,category,brand,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22
700845,81037527,H&SH CLASSIC CLEAN 400 ML,6.00000,1.00000,400 ml shampoo,hair care,H&S,0.18874,0.30062,0.21068,0.12479,0.29797,0.10394,0.42666,0.28802,0.33470,0.12432,0.27292,0.20695,0.15404,0.21660,0.24569,0.13973,0.15902,0.24523,0.35523,0.16058,0.40674,0.15825,0.36519,0.28288,0.20166,0.26825,0.28179,0.20166,0.39336,0.20041,0.34294,0.28646,0.27775,0.27354,0.23558,0.37360,0.15622,0.21644,0.52982,0.22640,0.59890,0.17910,0.30000,0.31914,0.43288,0.17194,0.36348,0.76695,0.12432,0.64652,0.19683,0.38729,0.09678,0.65539,0.31198,0.64232,0.30824,0.93344
700873,80902252,H&SH MENTHOL 2in1 400 ml,6.00000,1.00000,400 ml shampoo,hair care,H&S,0.16291,0.24849,0.15840,0.09414,0.27106,0.10176,0.39756,0.28179,0.27479,0.09554,0.25456,0.18376,0.13662,0.20508,0.23075,0.10736,0.14020,0.18376,0.35679,0.14191,0.35944,0.14237,0.33065,0.22469,0.18548,0.12993,0.27463,0.21271,0.38495,0.17816,0.31633,0.27930,0.26841,0.24787,0.20648,0.34730,0.14160,0.18314,0.51644,0.20695,0.48874,0.17614,0.27090,0.22546,0.33127,0.36301,0.28257,0.38791,0.10005,0.61586,0.15202,0.36504,0.07142,0.63314,0.24507,0.32614,0.26717,0.86498
739206,81745576,H&SH Deep Clean Mint 6x400ML,6.00000,1.00000,400 ml shampoo,hair care,H&S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04497,0.06940,0.08200,0.17396,0.18330,0.06053,0.30109,0.04528,0.26234,0.08994,0.14533,0.02178,0.31353,0.07904,0.27775,0.14222,0.44393
739207,81745574,H&SH Deep Clean Citrus 6x400ML,6.00000,1.00000,400 ml shampoo,hair care,H&S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05010,0.09009,0.08947,0.19621,0.23853,0.06737,0.38153,0.07656,0.31680,0.12246,0.20166,0.04964,0.43210,0.12666,0.27292,0.08558,0.43070
739208,81745572,H&SH Deep Clean Sea Mineral 6x400ML,6.00000,1.00000,400 ml shampoo,hair care,H&S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04466,0.06582,0.06131,0.17692,0.21099,0.05664,0.28148,0.04979,0.16851,0.11219,0.18983,0.04450,0.36084,0.12853,0.25565,0.02816,0.52593
737778,81642238,H&SH NOURISHING 400 ML,6.00000,1.00000,400 ml shampoo,hair care,H&S,0.10702,0.16630,0.09110,0.04618,0.14524,0.04586,0.20639,0.14945,0.17238,0.05616,0.13853,0.11794,0.08252,0.10296,0.14243,0.04087,0.07051,0.11653,0.19484,0.07940,0.24102,0.09231,0.27648,0.16559,0.12414,0.17057,0.17448,0.00733,,0.12059,0.00718,0.00218,0.00016,,,,,,0.00016,,,,,-0.00390,0.00374,,,,,,,,,,-0.00047,0.00062,,
700905,80902254,H&SH SMOOT&SILKY 2/1 400,6.00000,1.00000,400 ml shampoo,hair care,H&S,0.10721,0.18828,0.08916,0.03906,0.16649,0.03703,0.24134,0.15171,0.16291,0.05570,0.13024,0.09616,0.06800,0.09663,0.12401,0.04839,0.06971,0.10627,0.18625,0.05477,0.20617,0.10021,0.26094,0.16851,0.08651,0.16478,0.17396,0.16245,0.27743,0.11748,0.19823,0.17287,0.13055,0.13397,0.12821,0.18750,0.07640,0.10114,0.28490,0.10721,0.11374,0.09025,0.14269,0.13008,0.20135,0.29284,0.19823,0.41141,0.05524,0.40067,0.11016,0.31680,0.03517,0.44377,0.13133,0.29564,0.14206,0.53573
703280,81434457,H&SH CITRUS FRESH 600ML,6.00000,1.00000,600 ml shampoo,hair care,H&S,0.08379,0.15568,0.10876,0.05765,0.15941,0.17458,0.14424,0.20212,0.19676,0.12977,0.12977,0.10946,0.09406,0.12884,0.14191,0.05485,0.09686,0.12067,0.25137,0.09383,0.20563,0.10176,0.07072,0.18322,0.05625,0.11133,0.22383,0.11227,0.09546,0.21870,0.22873,0.17575,0.25020,0.21776,0.25114,0.32699,0.17458,0.19022,0.07515,,0.04668,0.16128,0.16618,0.27518,0.24764,0.16571,0.13514,0.05998,0.08496,0.14097,0.18135,0.43576,0.11040,0.16665,0.48314,0.19862,0.16431,0.15218
703277,81435789,H&SH Menthol 600ml,6.00000,1.00000,600 ml shampoo,hair care,H&S,0.08006,0.15591,0.10013,0.05252,0.17575,0.22943,0.15194,0.18532,0.22033,0.11133,0.13164,0.11157,0.08542,0.11297,0.14774,0.06508,0.08472,0.16245,0.26024,0.09873,0.18812,0.09920,0.07212,0.16408,0.05998,0.09756,0.23130,0.10783,0.06839,0.20749,0.26421,0.22033,0.24624,0.15871,0.16035,0.24274,0.12534,0.15334,0.24997,0.21800,0.14167,0.16665,0.18905,0.21426,0.28545,0.05882,0.23853,0.26934,0.08449,0.13864,0.19816,0.38091,0.09079,0.35150,0.28918,0.07095,0.17668,0.14891
703281,81435788,H&SH CLASSIC 2/1 600ml,6.00000,1.00000,shower gel,hair care,H&S,0.10876,0.17598,0.11530,0.08146,0.18532,0.25464,0.13374,0.22103,0.23340,0.14681,0.16665,0.15591,0.13374,0.14074,0.19792,0.08449,0.10806,0.18089,0.29969,0.09709,0.23620,0.11157,0.09616,0.20119,0.05928,0.13514,0.27401,0.13140,0.09709,0.20376,0.30365,0.24647,0.27098,0.20119,0.22243,0.30599,0.16221,0.19045,0.42479,0.20586,0.16945,0.20236,0.20936,0.10223,0.33750,0.09803,0.24367,0.42012,0.10503,0.17598,0.25884,0.45000,0.14611,0.38604,0.51301,0.34917,0.20609,0.18532
