sku,code,item_name,in_case,coef,arge_group,category,brand,date,sales,month,year
701539,81163801.0,PANT COLOUR 250,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.03042,Jan,2018
701512,80938925.0,PANT Repair & Protect 250 ML,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.04316,Jan,2018
703110,,PANT Moisture & Renew 250ml,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.02955,Jan,2018
703180,81422064.0,PANT Oil Therapy 250ml,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.03042,Jan,2018
701643,81455053.0,PANT Thin & Strong 250ml,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.02236,Jan,2018
703839,81537678.0,PANT HAIRFALL 250 ML,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.0278,Jan,2018
701640,81184018.0,PANT Silky Shine 250 ML,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,0.03655,Jan,2018
739063,,PNT VS SH SUPERFOOD 250 ML EECAU,6.00000,1.0,250 ml shampoo,hair care,Pantene,2018-01-01,,Jan,2018
737855,81706859.0,PANT Nutrient Cocktail 400,6.00000,1.0,400 ml shampoo,hair care,Pantene,2018-01-01,,Jan,2018
701513,81164001.0,PANT Repair & Protect 400 ML,6.00000,1.0,400 ml shampoo,hair care,Pantene,2018-01-01,0.05057,Jan,2018
